contrast,SoilPortion,estimate,SE,df,t.ratio,p.value,Metric,Data,Dataset,RarefactionDepth
DEGREST - NATURAL,BS,-590.0473909269615,282.94856221495826,97.12117591269153,-2.0853521442483878,0.03965973314736982,Chao1,Raw,16S,10000
DEGREST - NATURAL,RZ,234.89669862744347,289.05573499570784,97.0306847677681,0.8126346243603554,0.41841694405739027,Chao1,Raw,16S,10000
DEGREST - NATURAL,BS,-499.6840331955148,231.35967055211924,97.09219666491917,-2.159771545330538,0.03325279856821285,Chao1,Rarefied_10000,16S,10000
DEGREST - NATURAL,RZ,190.34597971741726,236.36681193905272,97.0232373929942,0.8052990948936523,0.4226162565887792,Chao1,Rarefied_10000,16S,10000
DEGREST - NATURAL,BS,-0.39409547496984487,0.22541885134048786,97.15583401585351,-1.7482809118505198,0.08357422246621315,Shannon,Raw,16S,10000
DEGREST - NATURAL,RZ,0.07222768903744764,0.23026874633747957,97.0396864324207,0.31366692261220486,0.7544472803830553,Shannon,Raw,16S,10000
DEGREST - NATURAL,BS,-0.3601467468417557,0.2150810435356333,97.15583401585288,-1.6744699622125871,0.0972545394481389,Shannon,Rarefied_10000,16S,10000
DEGREST - NATURAL,RZ,0.05716428851156996,0.21970852021199921,97.0396864324207,0.26018239281941136,0.7952743499793341,Shannon,Rarefied_10000,16S,10000
DEGREST - NATURAL,BS,-590.0473909269615,282.94856221495826,97.12117591269153,-2.0853521442483878,0.03965973314736982,Chao1,Raw,16S,15000
DEGREST - NATURAL,RZ,234.89669862744347,289.05573499570784,97.0306847677681,0.8126346243603554,0.41841694405739027,Chao1,Raw,16S,15000
DEGREST - NATURAL,BS,-550.0557169426019,251.54343907023852,97.09551507878756,-2.1867225755349944,0.03116483238714012,Chao1,Rarefied_15000,16S,15000
